Rank,Gene,
1142,SIN3A,
1143,CDK15,
1144,ADCY1,
1145,OLR1,
1146,MADD,
1147,ABCG8,
1148,PIWIL4,
1149,UCP2,
1150,NSF,
1151,FGFR1,
1152,RB1,
1153,CD320,
1154,GNA15,
1155,GPC6,
1156,APOD,
1157,MFGE8,
1158,CREM,
1159,COASY,
1160,RAB35,
1161,NCOA2,
1162,CCNB1,
1163,GAB2,
1164,PRKDC,
1165,SPARC,
1166,CDK18,
1167,GAL,
1168,HMGB1,
1169,CDK14,
1170,YWHAG,
1171,GPC5,
1172,HSD11B1,
1173,DAB2,
1174,MED12,
1175,MT-CYB,
1176,MYO5A,
1177,RBP1,
1178,PTGER3,
1179,CNR1,
1180,GNAO1,
1181,PTPN23,
1182,DNM1L,
1183,CCL19,
1184,MIF,
1185,HTRA1,
1186,TGFB2,
1187,ABL2,
1188,HTR2A,
1189,GRM2,
1190,TBXA2R,
1191,SSRP1,
1192,MAP3K5,
1193,DGAT1,
1194,PLCB3,
1195,PPY,
1196,MED4,
1197,GATA3,
1198,GNRHR,
1199,GFPT1,
1200,GRM3,
1201,TGFB3,
1202,HTR1A,
1203,PROS1,
1204,KIF5B,
1205,AURKB,
1206,TBC1D9B,
1207,P2RY12,
1208,HMGCS2,
1209,CDK17,
1210,GSN,
1211,F2RL1,
1212,CALM1,
1213,RUNX1,
1214,FOXO3,
1215,KDM2B,
1216,OPRM1,
1217,PLA2G2A,
1218,PENK,
1219,RAF1,
1220,ESAM,
1221,STXBP2,
1222,GRM7,
1223,GRK5,
1224,EZH2,
1225,MYOG,
1226,PAX6,
1227,XPO1,
1228,GRM4,
1229,RAB9A,
1230,APPBP2,
1231,CXCL10,
1232,SPINK5,
1233,SCARB2,
1234,NPC1,
1235,TOMM40,
1236,P2RY2,
1237,CHUK,
1238,HMGCS1,
1239,SAR1B,
1240,RPS6KB1,
1241,ACTG2,
1242,UBIAD1,
1243,KISS1,
1244,PNLIP,
1245,GATA1,
1246,VAMP2,
1247,KDM2A,
1248,TBP,
1249,ZIC2,
1250,IKBKB,
1251,CD4,
1252,AP2A1,
1253,ACTG1,
1254,PDIA3,
1255,SOCS3,
1256,FBXL19,
1257,PLGLB2,
1258,AURKA,
1259,ABCA4,
1260,GRM6,
1261,STAT6,
1262,AAAS,
1263,SOX2,
1264,CCL20,
1265,DRD4,
1266,WNT1,
1267,GRM8,
1268,AKT3,
1269,MEF2A,
1270,HMOX2,
1271,XRN1,
1272,CRK,
1273,ALOX5,
1274,DNAJA4,
1275,YY1,
1276,MAPK7,
1277,FLT4,
1278,GCGR,
1279,COL1A2,
1280,S1PR1,
1281,GLMN,
1282,PLA2G10,
1283,CTSC,
1284,PYY,
1285,S1PR3,
1286,LYN,
1287,AP2M1,
1288,CHRM1,
1289,ANXA11,
1290,AP1M1,
1291,IFNG,
1292,REL,
1293,BCR,
1294,FIGF,
1295,APOF,
1296,GMPS,
1297,IRF1,
1298,RHOB,
1299,CAMK2B,
1300,CCL21,
1301,P2RY1,
1302,ILK,
1303,NEFM,
1304,MAPRE1,
1305,CCR9,
1306,APOM,
1307,PLA2G7,
1308,LIPG,
1309,CTTN,
1310,P2RY4,
1311,MTNR1B,
1312,XRCC6,
1313,EDN3,
1314,EIF4E,
1315,SSTR2,
1316,RAB1A,
1317,PPP2CA,
1318,GPER1,
1319,FGFR2,
1320,STUB1,
1321,FOXP3,
1322,ADRBK1,
1323,TBC1D9,
1324,NCOA3,
1325,GNA14,
1326,EPRS,
1327,MYH11,
1328,APOL1,
1329,H2AFZ,
1330,APLNR,
1331,P2RY13,
1332,DPYD,
1333,ISG15,
1334,COL4A1,
1335,CXCR1,
1336,COL4A2,
1337,F2RL2,
1338,CCR3,
1339,DLG5,
1340,OXTR,
1341,P2RY14,
1342,CFH,
1343,XCL1,
1344,SCP2,
1345,CXCL11,
1346,HESX1,
1347,NFKB2,
1348,TK2,
1349,KIF5A,
1350,DRD3,
1351,FPR1,
1352,EDN2,
1353,FXR1,
1354,PCDH8,
1355,AP1M2,
1356,IL2RB,
1357,ANOS1,
1358,CES1,
1359,WT1,
1360,PITRM1,
1361,CHRM2,
1362,KCNA4,
1363,CALM2,
1364,CX3CR1,
1365,VCL,
1366,INADL,
1367,MPP2,
1368,MDM2,
1369,RGS4,
1370,CHRM4,
1371,LTF,
1372,MTNR1A,
1373,PIK3CG,
1374,RPS6KA3,
1375,KAT8,
1376,EIF4G1,
1377,FKBP1A,
1378,EHMT2,
1379,RAP1A,
1380,MYO5C,
1381,TACR2,
1382,XCR1,
1383,MPP6,
1384,CCR6,
1385,P2RY6,
1386,ADORA1,
1387,SUGT1,
1388,NEDD4L,
1389,CCR8,
1390,GHSR,
1391,SERPING1,
1392,MX1,
1393,FXR2,
1394,OPN4,
1395,CXCL5,
1396,HTR1B,
1397,SLC9A1,
1398,COL1A1,
1399,ARF1,
1400,PIK3CB,
1401,CFD,
1402,ARMS2,
1403,OPRK1,
1404,CCR4,
